Time [s],Packet ID,MOSI,MISO
4.571115,13913,0x8,0x0
4.57112975,13913,0x8,0x0
4.57114925,13914,0xD,0x0
4.5721325,13915,0xD,0x0
4.57313825,13916,0xA,0x0
4.57315875,13917,0x0,0x0
4.5731735,13917,0xF,0x0
4.5731905,13917,0x3,0x0
4.57320475,13917,0x8,0x0
4.57322425,13918,0xD,0x0
4.5742075,13919,0xD,0x0
4.57519025,13920,0xA,0x0
4.57521125,13921,0x0,0x0
4.575226,13921,0xF,0x0
4.5752425,13921,0x8,0x0
4.5752575,13921,0x8,0x0
4.575277,13922,0xD,0x0
4.57626025,13923,0xD,0x0
4.57726575,13924,0xA,0x0
4.57728625,13925,0x0,0x0
4.577301,13925,0xF,0x0
4.577318,13925,0x3,0x0
4.57733225,13925,0x8,0x0
4.577352,13926,0xD,0x0
4.5783355,13927,0xD,0x0
4.57931825,13928,0xA,0x0
4.57933925,13929,0x0,0x0
4.579354,13929,0xF,0x0
4.57937075,13929,0x8,0x0
4.5793855,13929,0x8,0x0
4.57940525,13930,0xD,0x0
4.58038775,13931,0xD,0x0
4.58138325,13932,0xA,0x0
4.58140175,13933,0xE,0x0
4.58142,13934,0x0,0x0
4.58143525,13934,0x5,0x0
4.581452,13934,0xA,0x0
4.58146675,13934,0x5,0x0
4.581484,13934,0xF,0x0
4.58149825,13934,0x6,0x0
4.5815155,13934,0x0,0x0
4.58153075,13934,0x0,0x0
4.581554,13934,0x7,0x0
4.581568,13934,0xD,0x0
4.581589,13934,0x7,0x0
4.581603,13934,0x9,0x0
4.581624,13934,0x0,0x0
4.58163925,13934,0x0,0x0
4.5816605,13934,0xF,0x0
4.581675,13934,0x0,0x0
4.5816925,13934,0x5,0x0
4.581707,13934,0x5,0x0
4.5817375,13935,0xA,0x0
4.581758,13936,0x0,0x0
4.58177275,13936,0xF,0x0
4.5817895,13936,0x3,0x0
4.581804,13936,0x8,0x0
4.5818235,13937,0xD,0x0
4.5828065,13938,0xD,0x0
4.58378975,13939,0xA,0x0
4.58381075,13940,0x0,0x0
4.5838255,13940,0xF,0x0
4.58384225,13940,0x8,0x0
4.583857,13940,0x8,0x0
4.58387675,13941,0xD,0x0
4.58485975,13942,0xD,0x0
4.58588,13943,0xA,0x0
4.5859005,13944,0x0,0x0
4.58591525,13944,0xF,0x0
4.585932,13944,0x3,0x0
4.5859465,13944,0x8,0x0
4.585966,13945,0xD,0x0
4.586949,13946,0xD,0x0
4.5879325,13947,0xA,0x0
4.58795325,13948,0x0,0x0
4.587968,13948,0xF,0x0
4.58798475,13948,0x8,0x0
4.5879995,13948,0x8,0x0
4.588019,13949,0xD,0x0
4.5890015,13950,0xD,0x0
4.59000675,13951,0xA,0x0
4.590027,13952,0x0,0x0
4.59004175,13952,0xF,0x0
4.59005875,13952,0x3,0x0
4.590073,13952,0x8,0x0
4.59009275,13953,0xD,0x0
4.5910755,13954,0xD,0x0
4.59205825,13955,0xA,0x0
4.592079,13956,0x0,0x0
4.592094,13956,0xF,0x0
4.5921105,13956,0x8,0x0
4.5921255,13956,0x8,0x0
4.592145,13957,0xD,0x0
4.59312775,13958,0xD,0x0
4.5941325,13959,0xA,0x0
4.594153,13960,0x0,0x0
4.59416775,13960,0xF,0x0
4.5941845,13960,0x3,0x0
4.594199,13960,0x8,0x0
4.5942185,13961,0xD,0x0
4.5952015,13962,0xD,0x0
4.59618425,13963,0xA,0x0
4.596205,13964,0x0,0x0
4.59621975,13964,0xF,0x0
4.5962365,13964,0x8,0x0
4.59625125,13964,0x8,0x0
4.59627075,13965,0xD,0x0
4.59725375,13966,0xD,0x0
4.598259,13967,0xA,0x0
4.5982795,13968,0x0,0x0
4.59829425,13968,0xF,0x0
4.59831125,13968,0x3,0x0
4.5983255,13968,0x8,0x0
4.59834525,13969,0xD,0x0
4.5993285,13970,0xD,0x0
4.60031125,13971,0xA,0x0
4.60033225,13972,0x0,0x0
4.600347,13972,0xF,0x0
4.6003635,13972,0x8,0x0
4.6003785,13972,0x8,0x0
4.600398,13973,0xD,0x0
4.60138075,13974,0xD,0x0
4.60237675,13975,0xA,0x0
4.602395,13976,0xE,0x0
4.6024135,13977,0x0,0x0
4.6024285,13977,0x5,0x0
4.60244525,13977,0xA,0x0
4.60246025,13977,0x5,0x0
4.60247725,13977,0xF,0x0
4.6024915,13977,0x6,0x0
4.602509,13977,0x0,0x0
4.602524,13977,0x0,0x0
4.6025475,13977,0x7,0x0
4.6025615,13977,0xD,0x0
4.60258225,13977,0x7,0x0
4.6025965,13977,0x9,0x0
4.6026175,13977,0x0,0x0
4.6026325,13977,0x0,0x0
4.602654,13977,0xF,0x0
4.60266825,13977,0x0,0x0
4.602686,13977,0x5,0x0
4.6027005,13977,0x5,0x0
4.602731,13978,0xA,0x0
4.60275125,13979,0x0,0x0
4.602766,13979,0xF,0x0
4.602783,13979,0x3,0x0
4.60279725,13979,0x8,0x0
4.602817,13980,0xD,0x0
4.60380025,13981,0xD,0x0
4.6047835,13982,0xA,0x0
4.6048045,13983,0x0,0x0
4.60481925,13983,0xF,0x0
4.604836,13983,0x8,0x0
4.60485075,13983,0x8,0x0
4.6048705,13984,0xD,0x0
4.6058535,13985,0xD,0x0
4.60687325,13986,0xA,0x0
4.60689375,13987,0x0,0x0
4.6069085,13987,0xF,0x0
4.6069255,13987,0x3,0x0
4.60693975,13987,0x8,0x0
4.60695925,13988,0xD,0x0
4.607942,13989,0xD,0x0
4.60892575,13990,0xA,0x0
4.60894675,13991,0x0,0x0
4.6089615,13991,0xF,0x0
4.608978,13991,0x8,0x0
4.608993,13991,0x8,0x0
4.6090125,13992,0xD,0x0
4.6099955,13993,0xD,0x0
